Model,Variable,RMSE_mean,RMSE_std,RMSE_median,Corr_mean,Corr_std,Corr_median,LogLik_mean,LogLik_std,LogLik_median,AUC_mean,AUC_std,AUC_median
MixedModel,biomarker,0.85638647377491,0.061059444033911274,0.8535734415054321,0.92650463967161,0.014612141193686966,0.9301929393298052,-1.2614795710185474,0.07155821486376825,-1.2606136472662006,,,
MixedModel,blood_pressure,19.746910667419435,1.305158249069351,19.55023193359375,0.9167398591838858,0.01121386860709089,0.9142466784606605,-4.399908042917443,0.06498054939988818,-4.391903470875012,,,
MixedModel,score,0.8741952657699585,0.0675767593845089,0.8795149624347687,0.9223240443054468,0.013338745257234892,0.922537233595853,-1.2816231881090074,0.07784600766013788,-1.2905380108671678,,,
MixedModel,symptom_present,0.40386638045310974,0.015333171891658347,0.40255968272686005,0.5897863756801447,0.0368773754821895,0.5929181178689584,-0.5579215638127174,0.24586642498572503,-0.5132678057951383,0.8384010931991336,0.020471792804364702,0.8394625371722673
RNN,biomarker,1.1226691871881485,0.10005279274526438,1.120714783668518,0.901362845158773,0.019668591126503578,0.9053556886012352,-1.5309057192240343,0.08862300960219777,-1.5325757729930525,,,
RNN,blood_pressure,30.33040542602539,10.663954094227257,25.15076446533203,0.6371739696978018,0.39063868738060303,0.8750389331331722,-4.778806382678002,0.3212724665867215,-4.643511786155044,,,
RNN,score,1.0688632488250733,0.07906376632702715,1.0868858098983765,0.901057013185612,0.013685540877759172,0.9012344382009085,-1.4828838859804907,0.07506464689681928,-1.5019504516664295,,,
RNN,symptom_present,0.4445740535855293,0.03903700333518749,0.427206888794899,0.4028266468568294,0.230816158370406,0.5255128914845767,-0.5834764964165136,0.07747607122938445,-0.553020106107268,0.7315446154353304,0.13258913707497594,0.8036540681755172
VAE-RWMH,biomarker,0.7960432529449463,0.057842483115790724,0.7860914766788483,0.9312383795256428,0.011528642237362698,0.9310131392096004,-1.188439957761267,0.07026733212259258,-1.1782543389711173,,,
VAE-RWMH,blood_pressure,22.414903259277345,1.879878122965254,22.520075798034668,0.8825137163852625,0.018124992312759745,0.8820148731321551,-4.525369566407394,0.08304149798074162,-4.53330368614757,,,
VAE-RWMH,score,0.8089407920837403,0.04305160521604714,0.8059345781803131,0.9281628953363095,0.009323768885927468,0.9296178773024567,-1.2055764245407952,0.05285305811218255,-1.2031837290285896,,,
VAE-RWMH,symptom_present,0.41531652957201004,0.01644684560912823,0.41451093554496765,0.5630005488247017,0.04485883031421962,0.5659000148869833,-0.5254488657793829,0.0341461498884224,-0.5186371199517514,0.8223437748971876,0.025240488242181894,0.827212638862842
