Replication,Seed,Model,Variable,RMSE,Corr,VarType,LogLik,AUC
0,42,VAE-RWMH,biomarker,0.7951844930648804,0.9208798795007481,continuous,-1.1897574087018221,
0,42,VAE-RWMH,blood_pressure,23.819236755371094,0.8712870924070738,bounded,-4.589432054442609,
0,42,VAE-RWMH,symptom_present,0.41636282205581665,0.5583785643792477,binary,-0.5205217264949922,0.8210951643509935
0,42,VAE-RWMH,score,0.7941916584968567,0.9334785661117078,continuous,-1.188508069838663,
0,42,RNN,biomarker,1.2018780708312988,0.9151127697888631,continuous,-1.6028239255961578,
0,42,RNN,blood_pressure,21.47373390197754,0.9022450731127171,bounded,-4.485769042502396,
0,42,RNN,symptom_present,0.4168088436126709,0.5517845116010575,binary,-0.5217760908808486,0.8188940025156135
0,42,RNN,score,1.0304569005966187,0.9179495933471565,continuous,-1.4489408299002628,
0,42,MixedModel,biomarker,0.8874672651290894,0.912219481859964,continuous,-1.2995548905302723,
0,42,MixedModel,blood_pressure,22.312978744506836,0.9010726472669494,bounded,-4.5241069892461425,
0,42,MixedModel,symptom_present,0.4015979468822479,0.5999164053652031,binary,-0.48942628542935285,0.8469474556677645
0,42,MixedModel,score,0.8844621181488037,0.9169347720490213,continuous,-1.2961629383566529,
1,43,VAE-RWMH,biomarker,0.8220763802528381,0.9312095480642358,continuous,-1.2230165649775364,
1,43,VAE-RWMH,blood_pressure,22.313640594482422,0.8733417186985198,bounded,-4.524136770123084,
1,43,VAE-RWMH,symptom_present,0.4090302884578705,0.5876502627963371,binary,-0.5091513201155642,0.8349580441313581
1,43,VAE-RWMH,score,0.9103554487228394,0.9112758449854599,continuous,-1.3250183804600728,
1,43,RNN,biomarker,1.1655575037002563,0.9209915221106658,continuous,-1.5721380497054156,
1,43,RNN,blood_pressure,42.85078811645508,0.25378441950878916,bounded,-5.176662570528682,
1,43,RNN,symptom_present,0.5006678104400635,0.06768834253332336,binary,-0.6946473773923033,0.541042508373908
1,43,RNN,score,1.0331321954727173,0.9079099332543917,continuous,-1.451533687538451,
1,43,MixedModel,biomarker,0.9547152519226074,0.9256364014902957,continuous,-1.3725964443216667,
1,43,MixedModel,blood_pressure,19.708309173583984,0.9101501262555988,bounded,-4.399978865483249,
1,43,MixedModel,symptom_present,0.39021578431129456,0.6241341410199244,binary,-0.49737749504057316,0.8552531164750165
1,43,MixedModel,score,0.9417572617530823,0.9157108052648597,continuous,-1.358930811678769,
2,44,VAE-RWMH,biomarker,0.8566421866416931,0.9096144102815452,continuous,-1.264203567130754,
2,44,VAE-RWMH,blood_pressure,23.10508918762207,0.8716084603462898,bounded,-4.558991378015309,
2,44,VAE-RWMH,symptom_present,0.44239237904548645,0.5248580430122994,binary,-0.5817667948140711,0.8050656082354647
2,44,VAE-RWMH,score,0.8260903358459473,0.9255963884213377,continuous,-1.2278873871944798,
2,44,RNN,biomarker,1.02341890335083,0.9055413040510903,continuous,-1.4420873619447638,
2,44,RNN,blood_pressure,22.677486419677734,0.8994548507469824,bounded,-4.540311177865804,
2,44,RNN,symptom_present,0.44038909673690796,0.4996434709650761,binary,-0.5715925837131842,0.7888701609395389
2,44,RNN,score,1.1137083768844604,0.9009525340231304,continuous,-1.5266338602638245,
2,44,MixedModel,biomarker,0.79627525806427,0.9310153831377167,continuous,-1.1911281818796082,
2,44,MixedModel,blood_pressure,18.85084342956543,0.9229794099529983,bounded,-4.355496190371726,
2,44,MixedModel,symptom_present,0.4200243055820465,0.5430571709581588,binary,-0.5267296030456774,0.8133201029433088
2,44,MixedModel,score,0.8554812669754028,0.9300848679421825,continuous,-1.2628475097547527,
3,45,VAE-RWMH,biomarker,0.8107811808586121,0.9486019027831507,continuous,-1.209181457947158,
3,45,VAE-RWMH,blood_pressure,22.106462478637695,0.8797996875998298,bounded,-4.514808518829889,
3,45,VAE-RWMH,symptom_present,0.4059913754463196,0.5830431076130462,binary,-0.5033134609007084,0.8349996324677951
3,45,VAE-RWMH,score,0.7830125093460083,0.9103145905015627,continuous,-1.174331926261977,
3,45,RNN,biomarker,1.0446252822875977,0.9140339610638585,continuous,-1.4625967727727436,
3,45,RNN,blood_pressure,46.71675491333008,-0.007843435834907613,bounded,-5.263041351516959,
3,45,RNN,symptom_present,0.5000490546226501,0.05780571250841307,binary,-0.6932507426710975,0.5340279692008012
3,45,RNN,score,0.9797590970993042,0.8872436010911481,continuous,-1.398489916777571,
3,45,MixedModel,biomarker,0.852271556854248,0.9418144494541822,continuous,-1.2590883397615285,
3,45,MixedModel,blood_pressure,22.610557556152344,0.8955361091688259,bounded,-4.5373554789053365,
3,45,MixedModel,symptom_present,0.39346545934677124,0.6156395166889469,binary,-0.4804963278658272,0.8548822059282946
3,45,MixedModel,score,0.8884129524230957,0.9056816749156847,continuous,-1.300619925631233,
4,46,VAE-RWMH,biomarker,0.748034656047821,0.930816730354965,continuous,-1.1286325627384708,
4,46,VAE-RWMH,blood_pressure,21.587568283081055,0.8970322332139924,bounded,-4.491056080152063,
4,46,VAE-RWMH,symptom_present,0.4084698557853699,0.5814119038423073,binary,-0.5132534355130375,0.8330097026704664
4,46,VAE-RWMH,score,0.7795369029045105,0.9351137481103897,continuous,-1.169883283363104,
4,46,RNN,biomarker,1.0321253538131714,0.868463151373584,continuous,-1.4505587193654133,
4,46,RNN,blood_pressure,47.776424407958984,0.22570848743761837,bounded,-5.285470837809818,
4,46,RNN,symptom_present,0.500003457069397,0.020982979308395284,binary,-0.6931690458016718,0.5114025126238277
4,46,RNN,score,1.1325596570968628,0.8816390104791961,continuous,-1.5434189067498347,
